Year,Xpath,Type,Description,Line,MinOccur,MaxOccur
2010,/Return/ReturnData/IRS990ScheduleJ/CompensationCommittee,CheckboxType,Compensation committee,Part I Line 3,0,
2010,/Return/ReturnData/IRS990ScheduleJ/RebuttablePresumptionProcedure,BooleanType,Rebuttable presumption procedure?,Part I Line 9,0,
2010,/Return/ReturnData/IRS990ScheduleJ/CompBasedNetEarningsFilingOrg,BooleanType,Compensation based on net earnings of filing org?,Part I Line 6a,0,
2010,/Return/ReturnData/IRS990ScheduleJ/EquityBasedCompArrangement,BooleanType,Equity based compensation arrangement?,Part I Line 4c,0,
2010,/Return/ReturnData/IRS990ScheduleJ/Form990ScheduleJPartII/OtherCompensationFilingOrg,USAmountType,Other compensation ($) from filing organization,Part II Column (B)(iii),0,
2010,/Return/ReturnData/IRS990ScheduleJ/Form990ScheduleJPartII/NameBusiness,BusinessNameType,Name of officer - business,Part II Column (A),,
2010,/Return/ReturnData/IRS990EZ/LandAndBuildings/EOY,USAmountNNType,Ending of year,Part II - Column (B),0,
2010,/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeKeyEmpl/BusinessName,BusinessNameType,Business Name,Part IV - Column (A),,
2010,/Return/ReturnData/IRS990EZ/CostOfGoodsSold,USAmountNNType,Less: cost of goods sold,Part I Line 7b,0,
2010,/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeKeyEmpl/ContriToEmplBenefitPlansEtc,USAmountNNType,Contributions to employee benefit plans and deferred compensation,Part IV - Column (D),0,
2010,/Return/ReturnData/IRS990EZ/BenefitsPaidToOrForMembers,USAmountNNType,Benefits paid to or for members,Part I Line 11,0,
2010,/Return/ReturnData/IRS990EZ/PartVIAHghstPaidCntrctProfSer,StringType,"If there are none, enter ""None""",Part VI Line 51,,
2010,/Return/ReturnData/IRS990EZ/ForeignFinancialAccountCountry,CountryType,Name of foreign country,Part V Line 42b,0,unbounded
2010,/Return/ReturnData/IRS990EZ/WebSite,LineExplanationType,Web site,I,0,
2010,/Return/ReturnData/IRS990EZ/ContributionsGiftsGrantsEtc,USAmountNNType,"Contributions, gifts, grants, and similar amounts received",Part I Line 1,0,
2010,/Return/ReturnData/IRS990EZ/RelatedOrgSection527Org,BooleanType,"If ""Yes,"" was the related organization(s) a section 527 organization?",Part VI Line 49b,0,
2010,/Return/ReturnData/IRS990EZ/GrossReceiptsLessThan25000,CheckboxType,"Indicates gross receipts less than $25,000",K,0,
2010,/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeKeyEmpl/Compensation,USAmountNNType,Compensation,Part IV - Column (C),0,
2010,/Return/ReturnData/IRS990EZ/OtherChangesInNetAssets,USAmountType,Other changes in net assets,Part I Line 20,0,
2010,/Return/ReturnData/IRS990EZ/TotalExpenses,USAmountNNType,Total expenses,Part I Line 17,0,
2010,/Return/ReturnData/IRS990EZ/OccupancyRentUtilitiesAndMaint,USAmountNNType,"Occupancy, rent, utilities, and maintenance",Part I Line 14,0,
2010,/Return/ReturnData/IRS990EZ/TanningServicesProvided,BooleanType,Payments received for indoor tanning services?,Part V Line 44c,,
2010,/Return/ReturnData/IRS990EZ/ProhibitedTaxShelterTrans,BooleanType,"At any time during the tax year, was the organization a party to a prohibited tax shelter transaction?",Part V Line 40e,0,
2010,/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeKeyEmpl/AvgHoursPerWkDevotedToPosition,xsd:decimal,Average Hours per week devoted to position,Part IV - Column (B),,
2010,/Return/ReturnData/IRS990EZ/OtherAssetsTotal/BOY,USAmountNNType,Beginnning of year,Part II - Column (A),0,
2010,/Return/ReturnData/IRS990EZ/RelatedOrgControlledEntity,BooleanType,Is any related organization a controlled entity within the meaning of section 512(b)(13)?,Part V Line 45,1,
2010,/Return/ReturnData/IRS990EZ/OtherExpensesTotal,USAmountNNType,Other expenses - total,Part I Line 16,0,
2010,/Return/ReturnData/IRS990EZ/StatesWhereCopyOfReturnIsFiled,StateType,States With Which a Copy of This Return is Filed,Part V Line 41,0,60
2010,/Return/ReturnData/IRS990EZ/InfoInScheduleOPartIII,CheckboxType,Schedule O contains a response to a question in Part III,Part III,0,
2010,/Return/ReturnData/IRS990EZ/GrossReceiptsForPublicUse,USAmountNNType,"501(c)(7) orgs: Gross receipts, included on line 9, for public use of club facilities",Part V Line 39b,0,
2010,/Return/ReturnData/IRS990EZ/ExcessOrDeficitForYear,USAmountType,Excess or deficit,Part I Line 18,0,
2010,/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeKeyEmpl/ExpenseAccountOtherAllowances,USAmountNNType,Expense account and other allowances,Part IV - Column (E),0,
2010,/Return/ReturnData/IRS990EZ/NetAssetsOrFundBalancesEOY,USAmountType,Net assets EOY,Part I Line 21,0,
2010,/Return/ReturnData/IRS990EZ/PrintingPublicationsPostage,USAmountNNType,"Printing, publications, postage, and shipping",Part I Line 15,0,
2010,/Return/ReturnData/IRS990EZ/OperatingSchool,BooleanType,Is the organization operating a school as described in section 170(b)(1)(A)(ii)?,Part VI Line 48,0,
2010,/Return/ReturnData/IRS990EZ/TotalAssets/BOY,USAmountNNType,Beginnning of year,Part II - Column (A),1,
2010,/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeKeyEmpl/Title,LineExplanationType,Title,Part IV - Column (B),,
2010,/Return/ReturnData/IRS990EZ/Organization4947a1,CheckboxType,Indicates a 4947(a)(1) organization,J,,
2010,/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeKeyEmpl/AddressUS,USAddressType,Address - US,Part IV - Column (A),,
2010,/Return/ReturnData/IRS990EZ/InfoInScheduleOPartVI,CheckboxType,Schedule O contains a response to a question in Part VI,Part VI,0,
2010,/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeKeyEmpl/AddressForeign,ForeignAddressType,Address - Foreign,Part IV - Column (A),,
2010,/Return/ReturnData/IRS990EZ/CompOfHghstPaidCntrctProfSer/NameBusiness,BusinessNameType,Highest paid contractor's name - Business,Part VI Line 51 Column (a),,
2010,/Return/ReturnData/IRS990EZ/MadeChangesToOrgnzngEtcDoc,BooleanType,Were any changes made in the organizing or governing documents but not reported to the IRS?,Part V Line 34,1,
2010,/Return/ReturnData/IRS990EZ/GroupExemptionNumber,StringType,Group exempt number,F,0,
2010,/Return/ReturnData/IRS990EZ/OrganizationHadUBI,BooleanType,"Did the organization have unrelated business gross income of $1,000 or more during the year covered by this return?",Part V Line 35a,0,
2010,/Return/ReturnData/IRS990EZ/CompOfHghstPaidCntrctProfSer/NamePerson,PersonNameType,Highest paid contractor's name - Person,Part VI Line 51 Column (a),,
2010,/Return/ReturnData/IRS990EZ/TotalAssets/EOY,USAmountNNType,Ending of year,Part II - Column (B),1,
2010,/Return/ReturnData/IRS990EZ/OtherAssetsTotal/EOY,USAmountNNType,Ending of year,Part II - Column (B),0,
2010,/Return/ReturnData/IRS990EZ/TaxImposedUnderIRC4912,USAmountNNType,501(c)(3) Organizations: Amount of tax imposed on the organization furing the year under section 4912,Part V Line 40a,0,
2010,/Return/ReturnData/IRS990EZ/OtherRevenueTotal,USAmountNNType,Other revenue - total,Part I Line 8,0,
2010,/Return/ReturnData/IRS990EZ/CompensationOfHighestPaidEmpl/AverageHoursPerWeek,xsd:decimal,Average hours per week,Part VI Line 50 Column (b),,
2010,/Return/ReturnData/IRS990EZ/CompOfHghstPaidCntrctProfSer/AddressForeign,ForeignAddressType,Address - Foreign,Part VI Line 51 Column (a),,
2010,/Return/ReturnData/IRS990EZ/CompOfHghstPaidCntrctProfSer/Compensation,USAmountNNType,Compensation,Part VI Line 51 Column (c),,
2010,/Return/ReturnData/IRS990EZ/NECTFilingForm990,CheckboxType,Indicates section 4947(a)(1) nonexempt charitable trusts filing Form 990 in lieu of Form 1041,Part V Line 43,0,
2010,/Return/ReturnData/IRS990EZ/OfficerDirectorTrusteeKeyEmpl/PersonName,PersonNameType,Person Name,Part IV - Column (A),,
2010,/Return/ReturnData/IRS990EZ/NetAssetsOrFundBalancesBOY,USAmountType,Net assets BOY,Part I Line 19,0,
2010,/Return/ReturnData/IRS990EZ/SumOfTotalLiabilities/EOY,USAmountNNType,Ending of year,Part II - Column (B),0,
2010,/Return/ReturnData/IRS990EZ/CashSavingsAndInvestments/BOY,USAmountNNType,Beginnning of year,Part II - Column (A),0,
2010,/Return/ReturnData/IRS990EZ/InitialReturn,CheckboxType,Indicates this is an initial return,B,0,
2010,/Return/ReturnData/IRS990EZ/GrossReceipts,USAmountNNType,Gross receipts,L,0,
2010,/Return/ReturnData/IRS990EZ/InfoInScheduleOPartV,CheckboxType,Schedule O contains a response to a question in Part V,Part V,0,
2010,/Return/ReturnData/IRS990EZ/FeesAndOthPymtToIndContractors,USAmountNNType,Professional fees and other payments to independent contractors,Part I Line 13,0,
2010,/Return/ReturnData/IRS990EZ/MaintainAnyDonorAdvisedFunds,BooleanType,Maintain any donor advised funds?,Part V Line 44a,,
2010,/Return/ReturnData/IRS990EZ/TheBooksAreInCareOf/AddressForeign,ForeignAddressType,Address - Foreign,Part V Line 42a,,
2010,/Return/ReturnData/IRS990EZ/MembershipDues,USAmountNNType,Membership dues and assessments,Part I Line 3,0,
2010,/Return/ReturnData/IRS990EZ/AmendedReturn,CheckboxType,Amended return,B,0,
2010,/Return/ReturnData/IRS990EZ/MethodOfAccountingAccrual,CheckboxType,Method of accounting - Accrual,G,0,
2010,/Return/ReturnData/IRS990EZ/CompensationOfHighestPaidEmpl/EmployeeBenefits,USAmountNNType,Employee benefits,Part VI Line 50 Column (d),0,
2010,/Return/ReturnData/IRS990EZ/EngagedInExcessBenefitTrans,BooleanType,"501(c)(3) and 501(c)(4) orgs: Did the organization engage in any section 4958 excess benefit transaction during the year, etc?",Part V Line 40b,0,
2010,/Return/ReturnData/IRS990EZ/GroProfitLossSalesOfInventory,USAmountType,Gross profit (or loss) from sales of inventory,Part I Line 7c,0,
2010,/Return/ReturnData/IRS990EZ/TransactionWithControlEntity,BooleanType,Payment from or engage in transaction with a controlled entity?,Part V Line 45a,0,
2010,/Return/ReturnData/IRS990EZ/GrossSalesOfInventory,USAmountNNType,Gross sales of inventory,Part I Line 7a,0,
2010,/Return/ReturnData/IRS990EZ/CostOtherBasisAndSalesExpenses,USAmountNNType,Cost or other basis and sales expenses,Part I Line 5b,0,
2010,/Return/ReturnData/IRS990EZ/CompensationOfHighestPaidEmpl/Compensation,USAmountNNType,Compensation,Part VI Line 50 Column (c),,
2010,/Return/ReturnData/IRS990EZ/TheBooksAreInCareOf/TelephoneNumber,PhoneNumberType,Telephone number,Part V Line 42a,,
2010,/Return/ReturnData/IRS990EZ/SalariesOtherCompEmplBenefits,USAmountNNType,"Salaries, other compensation, and employee benefits",Part I Line 12,0,
2010,/Return/ReturnData/IRS990EZ/Organization501c3,CheckboxType,Indicates a 501(c)(3) organization,J,,
2010,/Return/ReturnData/IRS990EZ/MethodOfAccountingCash,CheckboxType,Method of accounting - Cash,G,0,
2010,/Return/ReturnData/IRS990EZ/FundraisingGrossIncome,USAmountNNType,Fundraising gross income,Part I Line 6b,0,
2010,/Return/ReturnData/IRS990EZ/DirectIndirectPoliticalExpend,USAmountNNType,Direct or indirect political expenditures.,Part V Line 37a,0,
2010,/Return/ReturnData/IRS990EZ/GrossAmountFromSaleOfAssets,USAmountNNType,Gross amount from sale of assets other than inventory,Part I Line 5a,0,
2010,/Return/ReturnData/IRS990EZ/PrimaryExemptPurpose,ShortExplanationType,Primary exempt purpose,Part III,1,
2010,/Return/ReturnData/IRS990EZ/TrnsfrsExemptNonCharRelatedOrg,BooleanType,Did the organization make any transfers to an exempt non-charitable related organization?,Part VI Line 49a,0,
2010,/Return/ReturnData/IRS990EZ/ProgramServiceRevenue,USAmountNNType,ProgramServiceRevenue,Part I Line 2,0,
2010,/Return/ReturnData/IRS990EZ/ProgramServiceAccomplishment/ProgramServiceExpenses,USAmountNNType,Program service expenses,Part III,0,
2010,/Return/ReturnData/IRS990EZ/CompensationOfHighestPaidEmpl/ExpenseAccount,USAmountNNType,Expense Account,Part VI Line 50 Column (e),0,
2010,/Return/ReturnData/IRS990EZ/ForeignOffice,BooleanType,"At any time during the calender year, did the organization maintain an office outside of the U.S.?",Part V Line 42c,0,
2010,/Return/ReturnData/IRS990EZ/EngagePoliticalCmpgnActivities,BooleanType,Did the organization engage in direct or indirect political campaign activities on behalf of or in opposition to candidates for public office?,Part V Line 46,0,
2010,/Return/ReturnData/IRS990EZ/InfoInScheduleOPartII,CheckboxType,Schedule O contains a response to a question in Part II,Part II,0,
2010,/Return/ReturnData/IRS990EZ/CompensationOfHighestPaidEmpl/AddressForeign,ForeignAddressType,Address - Foreign,Part VI Line 50 Column (a),,
2010,/Return/ReturnData/IRS990EZ/OrganizationFiled990T,BooleanType,"If ""Yes"" for Line 35a, has it filed a tax return on Form 990-T for this year?",Part V Line 35b,0,
2010,/Return/ReturnData/IRS990EZ/LoansToFromOfficers,USAmountNNType,Loans to/from officers amount,Part V Line 38b,0,
2010,/Return/ReturnData/IRS990EZ/DoesOrgHaveHospital,BooleanType,Operate one or more hospital facilities?,Part V Line 44b,,
2010,/Return/ReturnData/IRS990EZ/GrantsAndSimilarAmountsPaid,USAmountNNType,Grants and similar amounts paid,Part I Line 10,0,
2010,/Return/ReturnData/IRS990EZ/ForeignFinancialAccount,BooleanType,Did the organization have an interest in or authority over a financial account in a foreign country?,Part V Line 42b,0,
2010,/Return/ReturnData/IRS990EZ/TerminatedReturn,CheckboxType,Final return,B,0,
2010,/Return/ReturnData/IRS990EZ/ProgramServiceAccomplishment/GrantsAndAllocations,USAmountNNType,Grants and allocations,Part III,0,
2010,/Return/ReturnData/IRS990EZ/EngageInLobbyingActivities,BooleanType,Did the organization engage in lobbying activities?,Part VI Line 47,0,
2010,/Return/ReturnData/IRS990EZ/CompensationOfHighestPaidEmpl/Title,LineExplanationType,Title,Part VI Line 50 Column (b),,
2010,/Return/ReturnData/IRS990EZ/MethodOfAccountingOther,LineExplanationType,Method of accounting - Other,G,0,
2010,/Return/ReturnData/IRS990EZ/InfoInScheduleOPartI,CheckboxType,Schedule O contains a response to a question in Part I,Part I,0,
2010,/Return/ReturnData/IRS990EZ/Organization501c,CheckboxType,Indicates a 501(c) organization,J,,
2010,/Return/ReturnData/IRS990EZ/CompOfHghstPaidCntrctProfSer/TypeOfService,LineExplanationType,Type of service,Part VI Line 51 Column (b),,
2010,/Return/ReturnData/IRS990EZ/TaxImposedUnderIRC4955,USAmountNNType,501(c)(3) Organizations: Amount of tax imposed on the organization furing the year under section 4955,Part V Line 40a,0,
2010,/Return/ReturnData/IRS990EZ/AddressChange,CheckboxType,Indicates this return has an address change,B,0,
2010,/Return/ReturnData/IRS990EZ/TotNumCntrctPdOver100KProfSer,IntegerNNType,"Total number of other independent contractors receiving over $100,000",Part VI Line 51d,0,
2010,/Return/ReturnData/IRS990EZ/CompensationOfHighestPaidEmpl/AddressUS,USAddressType,Address - US,Part VI Line 50 Column (a),,
2010,/Return/ReturnData/IRS990EZ/TotalProgramServiceExpenses,USAmountNNType,Total Program Service Expenses,Part III Line 32,0,
2010,/Return/ReturnData/IRS990EZ/TheBooksAreInCareOf/AddressUS,USAddressType,Address - US,Part V Line 42a,,
2010,/Return/ReturnData/IRS990EZ/SpecialEventsDirectExpenses,USAmountNNType,Special events direct expenses,Part I Line 6c,0,
2010,/Return/ReturnData/IRS990EZ/SpecialEventsNetIncomeLoss,USAmountType,Special events net income (or loss),Part I Line 6d,0,
2010,/Return/ReturnData/IRS990EZ/SpecialConditionDescription,TextType,Special condition description,,0,unbounded
2010,/Return/ReturnData/IRS990EZ/ProgramServiceAccomplishment/IncludesForeignGrants,CheckboxType,Includes foreign grants?,Part III,0,
2010,/Return/ReturnData/IRS990EZ/FiledScheduleA,BooleanType,Did the organization complete Schedule A?,Part VI Line 52,0,
2010,/Return/ReturnData/IRS990EZ/PartVIOfCompOfHighestPaidEmpl,StringType,"If there are none, enter ""None""",Part VI Line 50,,
2010,/Return/ReturnData/IRS990EZ/InitiationFeesAndCapitalContri,USAmountNNType,501(c)(7) orgs: Initiation fees and capital contributions included on line 9,Part V Line 39a,0,
2010,/Return/ReturnData/IRS990EZ/LandAndBuildings/BOY,USAmountNNType,Beginnning of year,Part II - Column (A),0,
2010,/Return/ReturnData/IRS990EZ/NetAssetsOrFundBalances/EOY,USAmountType,Ending of year,Part II Line 27 Column (B),1,
2010,/Return/ReturnData/IRS990EZ/GainOrLossFromSaleOfAssets,USAmountType,Gain or (loss) from sale of assets other than inventory,Part I Line 5c,0,
2010,/Return/ReturnData/IRS990EZ/DidOrgFileForm1120POLThisYear,BooleanType,Did the organization file Form 1120-POL for this year?,Part V Line 37b,0,
2010,/Return/ReturnData/IRS990EZ/TheBooksAreInCareOf/NameBusiness,BusinessNameType,Name - Business,Part V Line 42a,,
2010,/Return/ReturnData/IRS990EZ/CashSavingsAndInvestments/EOY,USAmountNNType,Ending of year,Part II - Column (B),0,
2010,/Return/ReturnData/IRS990EZ/SumOfTotalLiabilities/BOY,USAmountNNType,Beginnning of year,Part II - Column (A),0,
2010,/Return/ReturnData/IRS990EZ/ForeignOfficeCountry,CountryType,Name of foreign country,Part V Line 42c,0,unbounded
2010,/Return/ReturnData/IRS990EZ/CompOfHghstPaidCntrctProfSer/AddressUS,USAddressType,Address - US,Part VI Line 51 Column (a),,
2010,/Return/ReturnData/IRS990EZ/Organization527,CheckboxType,Indicates a 527 organization,J,,
2010,/Return/ReturnData/IRS990EZ/ScheduleBNotRequired,CheckboxType,Indicates Schedule B is not required,H,0,
2010,/Return/ReturnData/IRS990EZ/TotNumberOfOthEmplPaidOver100k,IntegerNNType,"Total number of other employees paid over $100,000",Part VI Line 50f,0,
2010,/Return/ReturnData/IRS990EZ/NetAssetsOrFundBalances/BOY,USAmountType,Beginnning of year,Part II Line 27 Column (A),1,
2010,/Return/ReturnData/IRS990EZ/MadeLoansToFromOfficers,BooleanType,"Did the organization borrow from, or make any loans to, any officer, director, trustee, or key employee or were any such loans made in a prior year and still unpaid at the start of the period caovered by this return?",Part V Line 38a,1,
2010,/Return/ReturnData/IRS990EZ/InfoInScheduleOPartIV,CheckboxType,Schedule O contains a response to a question in Part IV,Part IV,0,
2010,/Return/ReturnData/IRS990EZ/Form720Filed,BooleanType,Form 720 filed and taxes paid on indoor tanning services?,Part V Line 44d,0,
2010,/Return/ReturnData/IRS990EZ/OrganizationDissolvedEtc,BooleanType,"Was there a liquidation, dissolution, termination, or substantial contraction during the year?",Part V Line 36,1,
2010,/Return/ReturnData/IRS990EZ/ActivitiesNotPreviouslyRpt,BooleanType,Did the organization engage in any activity not previously reported to the IRS?,Part V Line 33,1,
2010,/Return/ReturnData/IRS990EZ/GamingGrossIncome,USAmountNNType,Special events Indicates revenue from gaming,Part I Line 6a,0,
2010,/Return/ReturnData/IRS990EZ/TotalRevenue,USAmountType,Total revenue,Part I Line 9,0,
2010,/Return/ReturnData/IRS990EZ/CompensationOfHighestPaidEmpl/Name,PersonNameType,Highest paid employee's name,Part VI Line 50 Column (a),,
2010,/Return/ReturnData/IRS990EZ/TheBooksAreInCareOf/NamePerson,PersonNameType,Name - Person,Part V Line 42a,,
2010,/Return/ReturnData/IRS990EZ/AmountOfTaxImposedOnOrgMgr,USAmountNNType,"Amount of tax imposed on the organization managers etc during the year under sections 4912, 4955, and 4958",Part V Line 40c,0,
2010,/Return/ReturnData/IRS990EZ/ProgramServiceAccomplishment/DescriptionProgramServiceAccom,ExplanationType,Description of program service accomplishments,Part III,1,
2010,/Return/ReturnData/IRS990EZ/TaxImposedUnderIRC4911,USAmountNNType,501(c)(3) Organizations: Amount of tax imposed on the organization furing the year under section 4911,Part V Line 40a,0,
2010,/Return/ReturnData/IRS990EZ/AmountOfTaxReimbursedByOrg,USAmountNNType,"Amount of tax on line 40c, above, reimbursed by the organization",Part V Line 40d,0,
2010,/Return/ReturnData/IRS990EZ/InvestmentIncome,USAmountNNType,Investment income,Part I Line 4,0,
2010,/Return/ReturnData/IRS990ScheduleG/EventsInformation/OtherDirectExpensesEvent2,USAmountType,"Other direct expenses, event no.2",Line 9 Column (b),0,
2010,/Return/ReturnData/IRS990ScheduleG/EventsInformation/NameOfEvent1,LineExplanationType,Name of event no.1,Column (a),0,
2010,/Return/ReturnData/IRS990ScheduleG/EventsInformation/NonCashPrizesEvent1,USAmountType,"Non-cash prizes, event no.1",Line 5 Column (a),0,
2010,/Return/ReturnData/IRS990ScheduleG/EventsInformation/GrossReceiptsEvent1,USAmountNNType,"Gross receipts, event no.1",Line 1 Column (a),0,
2010,/Return/ReturnData/IRS990ScheduleG/FundraiserActivityInformation/AmountRetainedByContractor,USAmountType,Amount paid to (or retained by) fundraiser listed in (i),Part I Line 2b(v),0,
2010,/Return/ReturnData/IRS990ScheduleG/NameOfThirdPartyBusiness,BusinessNameType,Business name of third party,Part III Line 15c,,
2010,/Return/ReturnData/IRS990ScheduleG/SolicitationOfNonGovtGrants,CheckboxType,Solicitation of non-govt grants,Part I Line 1,0,
2010,/Return/ReturnData/IRS990ScheduleG/GamingInformation/GrossRevenueTotalGaming,USAmountType,"Gross revenue, total",Line 1 Column (d),0,
2010,/Return/ReturnData/IRS990ScheduleG/AllStates,StringType,Literal for all states,Part I Line 3,,
2010,/Return/ReturnData/IRS990ScheduleG/FundraiserActivityInformation/AddressUS,USAddressType,US address of individual or organization,Line 2b Column (i),,
2010,/Return/ReturnData/IRS990ScheduleG/GamingManagerNameBusiness,BusinessNameType,Gaming manager business name,Part III Line 16,,
2010,/Return/ReturnData/IRS990ScheduleG/EventsInformation/EntertainmentEvent1,USAmountType,"Entertainment expenses, event no.1",Line 8 Column (a),0,
2010,/Return/ReturnData/IRS990ScheduleG/EventsInformation/NonCashPrizesEvent2,USAmountType,"Non-cash prizes, event no.2",Line 5 Column (b),0,
2010,/Return/ReturnData/IRS990ScheduleG/EventsInformation/GrossReceiptsOtherEvents,USAmountNNType,"Gross receipts, other events",Line 1 Column (c),0,
